Iteration,Element No.,Algorithm,Time
7,40000,Shakersort,3.424000
7,40000,Insertionsort,0.895000
7,40000,Selectionsort,1.787000
8,40000,Recursive Quicksort,0.006000
8,40000,Library qsort,0.023000
8,40000,Heapsort,0.021000
8,40000,Bubblesort,4.028000
8,40000,Shakersort,3.447000
8,40000,Insertionsort,0.901000
8,40000,Selectionsort,1.795000
9,40000,Recursive Quicksort,0.006000
9,40000,Library qsort,0.022000
9,40000,Heapsort,0.022000
9,40000,Bubblesort,4.033000
9,40000,Shakersort,3.435000
9,40000,Insertionsort,0.905000
9,40000,Selectionsort,1.791000
10,40000,Recursive Quicksort,0.005000
10,40000,Library qsort,0.023000
10,40000,Heapsort,0.023000
10,40000,Bubblesort,4.034000
10,40000,Shakersort,3.447000
10,40000,Insertionsort,0.902000
10,40000,Selectionsort,1.792000
11,40000,Recursive Quicksort,0.006000
11,40000,Library qsort,0.022000
11,40000,Heapsort,0.022000
11,40000,Bubblesort,4.013000
11,40000,Shakersort,3.452000
11,40000,Insertionsort,0.897000
11,40000,Selectionsort,1.799000
12,40000,Recursive Quicksort,0.006000
12,40000,Library qsort,0.024000
12,40000,Heapsort,0.022000
12,40000,Bubblesort,4.021000
12,40000,Shakersort,3.451000
12,40000,Insertionsort,0.903000
12,40000,Selectionsort,1.793000
13,40000,Recursive Quicksort,0.006000
13,40000,Library qsort,0.022000
13,40000,Heapsort,0.022000
13,40000,Bubblesort,4.019000
13,40000,Shakersort,3.435000
13,40000,Insertionsort,0.897000
13,40000,Selectionsort,1.791000
14,40000,Recursive Quicksort,0.005000
14,40000,Library qsort,0.023000
14,40000,Heapsort,0.022000
14,40000,Bubblesort,3.998000
14,40000,Shakersort,3.430000
14,40000,Insertionsort,0.905000
14,40000,Selectionsort,1.797000
15,40000,Recursive Quicksort,0.006000
15,40000,Library qsort,0.022000
15,40000,Heapsort,0.021000
15,40000,Bubblesort,4.014000
15,40000,Shakersort,3.438000
15,40000,Insertionsort,0.905000
15,40000,Selectionsort,1.794000
16,40000,Recursive Quicksort,0.005000
16,40000,Library qsort,0.022000
16,40000,Heapsort,0.022000
16,40000,Bubblesort,4.022000
16,40000,Shakersort,3.439000
16,40000,Insertionsort,0.903000
16,40000,Selectionsort,1.788000
17,40000,Recursive Quicksort,0.006000
17,40000,Library qsort,0.022000
17,40000,Heapsort,0.022000
17,40000,Bubblesort,4.012000
17,40000,Shakersort,3.438000
17,40000,Insertionsort,0.903000
17,40000,Selectionsort,1.792000
18,40000,Recursive Quicksort,0.006000
18,40000,Library qsort,0.022000
18,40000,Heapsort,0.022000
18,40000,Bubblesort,4.002000
18,40000,Shakersort,3.434000
18,40000,Insertionsort,0.901000
18,40000,Selectionsort,1.787000
19,40000,Recursive Quicksort,0.007000
19,40000,Library qsort,0.022000
19,40000,Heapsort,0.022000
19,40000,Bubblesort,4.009000
19,40000,Shakersort,3.427000
19,40000,Insertionsort,0.901000
19,40000,Selectionsort,1.789000
20,40000,Recursive Quicksort,0.006000
