Iteration,Element No.,Algorithm,Time
21,40000,Shakersort,4.885000
21,40000,Insertionsort,1.292000
21,40000,Selectionsort,2.355000
22,40000,Recursive Quicksort,0.007000
22,40000,Library qsort,0.024000
22,40000,Heapsort,0.023000
22,40000,Bubblesort,5.604000
22,40000,Shakersort,4.736000
22,40000,Insertionsort,1.266000
22,40000,Selectionsort,2.283000
23,40000,Recursive Quicksort,0.006000
23,40000,Library qsort,0.023000
23,40000,Heapsort,0.021000
23,40000,Bubblesort,5.499000
23,40000,Shakersort,4.625000
23,40000,Insertionsort,1.287000
23,40000,Selectionsort,2.261000
24,40000,Recursive Quicksort,0.008000
24,40000,Library qsort,0.019000
24,40000,Heapsort,0.023000
24,40000,Bubblesort,5.450000
24,40000,Shakersort,4.691000
24,40000,Insertionsort,1.284000
24,40000,Selectionsort,2.246000
25,40000,Recursive Quicksort,0.007000
25,40000,Library qsort,0.025000
25,40000,Heapsort,0.022000
25,40000,Bubblesort,5.438000
25,40000,Shakersort,4.645000
25,40000,Insertionsort,1.294000
25,40000,Selectionsort,2.310000
1,50000,Recursive Quicksort,0.009000
1,50000,Library qsort,0.028000
1,50000,Heapsort,0.033000
1,50000,Bubblesort,8.383000
1,50000,Shakersort,7.416000
1,50000,Insertionsort,1.962000
1,50000,Selectionsort,3.676000
2,50000,Recursive Quicksort,0.008000
2,50000,Library qsort,0.029000
2,50000,Heapsort,0.032000
2,50000,Bubblesort,8.466000
2,50000,Shakersort,7.285000
2,50000,Insertionsort,1.960000
2,50000,Selectionsort,3.561000
3,50000,Recursive Quicksort,0.009000
3,50000,Library qsort,0.029000
3,50000,Heapsort,0.034000
3,50000,Bubblesort,8.616000
3,50000,Shakersort,7.499000
3,50000,Insertionsort,1.996000
3,50000,Selectionsort,3.658000
4,50000,Recursive Quicksort,0.009000
4,50000,Library qsort,0.029000
4,50000,Heapsort,0.030000
4,50000,Bubblesort,8.479000
4,50000,Shakersort,7.496000
4,50000,Insertionsort,1.991000
4,50000,Selectionsort,3.615000
5,50000,Recursive Quicksort,0.010000
5,50000,Library qsort,0.029000
5,50000,Heapsort,0.029000
5,50000,Bubblesort,8.295000
5,50000,Shakersort,7.448000
5,50000,Insertionsort,1.966000
5,50000,Selectionsort,3.658000
6,50000,Recursive Quicksort,0.009000
6,50000,Library qsort,0.028000
6,50000,Heapsort,0.032000
6,50000,Bubblesort,8.424000
6,50000,Shakersort,7.400000
6,50000,Insertionsort,1.968000
6,50000,Selectionsort,3.616000
7,50000,Recursive Quicksort,0.010000
7,50000,Library qsort,0.034000
7,50000,Heapsort,0.029000
7,50000,Bubblesort,8.460000
7,50000,Shakersort,7.447000
7,50000,Insertionsort,2.005000
7,50000,Selectionsort,3.607000
8,50000,Recursive Quicksort,0.009000
8,50000,Library qsort,0.027000
8,50000,Heapsort,0.030000
8,50000,Bubblesort,8.495000
8,50000,Shakersort,7.468000
8,50000,Insertionsort,2.018000
8,50000,Selectionsort,3.552000
9,50000,Recursive Quicksort,0.009000
9,50000,Library qsort,0.029000
9,50000,Heapsort,0.027000
9,50000,Bubblesort,8.352000
9,50000,Shakersort,7.523000
9,50000,Insertionsort,2.025000
9,50000,Selectionsort,3.731000
10,50000,Recursive Quicksort,0.011000
10,50000,Library qsort,0.030000
10,50000,Heapsort,0.028000
10,50000,Bubblesort,8.462000
10,50000,Shakersort,7.446000
10,50000,Insertionsort,2.025000
10,50000,Selectionsort,3.650000
11,50000,Recursive Quicksort,0.009000
11,50000,Library qsort,0.026000
11,50000,Heapsort,0.029000
11,50000,Bubblesort,8.423000
11,50000,Shakersort,7.397000
11,50000,Insertionsort,2.036000
11,50000,Selectionsort,3.677000
12,50000,Recursive Quicksort,0.010000
12,50000,Library qsort,0.031000
12,50000,Heapsort,0.030000
12,50000,Bubblesort,8.547000
12,50000,Shakersort,7.569000
12,50000,Insertionsort,1.983000
12,50000,Selectionsort,3.554000
13,50000,Recursive Quicksort,0.011000
13,50000,Library qsort,0.027000
13,50000,Heapsort,0.030000
13,50000,Bubblesort,8.508000
13,50000,Shakersort,7.518000
13,50000,Insertionsort,1.979000
13,50000,Selectionsort,3.676000
14,50000,Recursive Quicksort,0.009000
14,50000,Library qsort,0.029000
14,50000,Heapsort,0.034000
14,50000,Bubblesort,8.540000
14,50000,Shakersort,7.502000
14,50000,Insertionsort,2.006000
14,50000,Selectionsort,3.660000
15,50000,Recursive Quicksort,0.011000
15,50000,Library qsort,0.031000
15,50000,Heapsort,0.031000
15,50000,Bubblesort,8.512000
15,50000,Shakersort,7.541000
15,50000,Insertionsort,2.028000
15,50000,Selectionsort,3.650000
16,50000,Recursive Quicksort,0.008000
16,50000,Library qsort,0.030000
16,50000,Heapsort,0.033000
16,50000,Bubblesort,8.569000
16,50000,Shakersort,7.415000
16,50000,Insertionsort,1.953000
16,50000,Selectionsort,3.641000
17,50000,Recursive Quicksort,0.009000
17,50000,Library qsort,0.027000
17,50000,Heapsort,0.031000
17,50000,Bubblesort,8.473000
17,50000,Shakersort,7.485000
